dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,popData2018
25/8/2020,25,8,2020,211,0,Austria,AT,AUT,8858775,Europe,8858775
24/8/2020,24,8,2020,242,1,Austria,AT,AUT,8858775,Europe,8858775
23/8/2020,23,8,2020,191,0,Austria,AT,AUT,8858775,Europe,8858775
22/8/2020,22,8,2020,300,2,Austria,AT,AUT,8858775,Europe,8858775
21/8/2020,21,8,2020,331,1,Austria,AT,AUT,8858775,Europe,8858775
20/8/2020,20,8,2020,347,0,Austria,AT,AUT,8858775,Europe,8858775
19/8/2020,19,8,2020,255,0,Austria,AT,AUT,8858775,Europe,8858775
18/8/2020,18,8,2020,295,0,Austria,AT,AUT,8858775,Europe,8858775
17/8/2020,17,8,2020,164,1,Austria,AT,AUT,8858775,Europe,8858775
16/8/2020,16,8,2020,191,0,Austria,AT,AUT,8858775,Europe,8858775
15/8/2020,15,8,2020,303,3,Austria,AT,AUT,8858775,Europe,8858775
14/8/2020,14,8,2020,282,0,Austria,AT,AUT,8858775,Europe,8858775
13/8/2020,13,8,2020,155,1,Austria,AT,AUT,8858775,Europe,8858775
12/8/2020,12,8,2020,194,1,Austria,AT,AUT,8858775,Europe,8858775
11/8/2020,11,8,2020,139,0,Austria,AT,AUT,8858775,Europe,8858775
10/8/2020,10,8,2020,73,2,Austria,AT,AUT,8858775,Europe,8858775
9/8/2020,9,8,2020,114,0,Austria,AT,AUT,8858775,Europe,8858775
8/8/2020,8,8,2020,82,1,Austria,AT,AUT,8858775,Europe,8858775
7/8/2020,7,8,2020,141,1,Austria,AT,AUT,8858775,Europe,8858775
6/8/2020,6,8,2020,130,0,Austria,AT,AUT,8858775,Europe,8858775
5/8/2020,5,8,2020,85,0,Austria,AT,AUT,8858775,Europe,8858775
4/8/2020,4,8,2020,96,1,Austria,AT,AUT,8858775,Europe,8858775
3/8/2020,3,8,2020,81,0,Austria,AT,AUT,8858775,Europe,8858775
2/8/2020,2,8,2020,92,0,Austria,AT,AUT,8858775,Europe,8858775
1/8/2020,1,8,2020,82,0,Austria,AT,AUT,8858775,Europe,8858775
31/7/2020,31,7,2020,175,0,Austria,AT,AUT,8858775,Europe,8858775
30/7/2020,30,7,2020,105,2,Austria,AT,AUT,8858775,Europe,8858775
29/7/2020,29,7,2020,173,3,Austria,AT,AUT,8858775,Europe,8858775
28/7/2020,28,7,2020,119,0,Austria,AT,AUT,8858775,Europe,8858775
27/7/2020,27,7,2020,86,1,Austria,AT,AUT,8858775,Europe,8858775
26/7/2020,26,7,2020,134,0,Austria,AT,AUT,8858775,Europe,8858775
25/7/2020,25,7,2020,124,1,Austria,AT,AUT,8858775,Europe,8858775
24/7/2020,24,7,2020,115,0,Austria,AT,AUT,8858775,Europe,8858775
23/7/2020,23,7,2020,170,0,Austria,AT,AUT,8858775,Europe,8858775
22/7/2020,22,7,2020,102,1,Austria,AT,AUT,8858775,Europe,8858775
21/7/2020,21,7,2020,84,0,Austria,AT,AUT,8858775,Europe,8858775
20/7/2020,20,7,2020,88,0,Austria,AT,AUT,8858775,Europe,8858775
19/7/2020,19,7,2020,82,0,Austria,AT,AUT,8858775,Europe,8858775
18/7/2020,18,7,2020,134,0,Austria,AT,AUT,8858775,Europe,8858775
17/7/2020,17,7,2020,169,0,Austria,AT,AUT,8858775,Europe,8858775
16/7/2020,16,7,2020,116,0,Austria,AT,AUT,8858775,Europe,8858775
