mask wearing,public events,border closure,schools + universities,self-isolation if ill,lockdown,social distancing encouraged
0.228628553792,1,0,0,1,0,1
0.228628553792,1,0,0,1,0,1
0.228628553792,1,0,0,1,0,1
0.228628553792,1,0,0,1,0,1
0.228628553792,1,0,0,1,0,1
0.228628553792,1,0,0,1,0,1
0.228628553792,1,0,0,1,0,1
0.228628553792,1,0,0,1,0,1
0.228628553792,1,0,0,1,0,1
0.228628553792,1,0,0,1,0,1
0.324815049181,1,0,0,1,0,1
0.324815049181,1,0,0,1,0,1
0.324815049181,1,0,0,1,0,1
0.324815049181,1,0,0,1,0,1
0.324815049181,1,0,0,1,0,1
0.324815049181,1,0,0,1,0,1
0.324815049181,1,0,0,1,0,1
0.324815049181,1,0,0,1,0,1
0.371855295601,1,0,0,1,0,1
0.371855295601,1,0,0,1,0,1
0.371855295601,1,0,0,1,0,1
0.371855295601,1,0,0,1,0,1
0.371855295601,1,0,0,1,0,1
0.371855295601,1,0,0,1,0,1
0.371855295601,1,0,0,1,0,1
1,1,0,0,1,0,1
1,1,0,0,1,0,1
1,1,0,0,1,0,1
1,1,0,0,1,0,1
1,1,0,0,1,0,1
1,1,0,0,1,0,1
1,1,0,0.0961864953888,1,0,1
1,1,0,0.0961864953888,1,0,1
1,1,0,0.0961864953888,1,0,1
1,1,0,0.0961864953888,1,0,1
1,1,0,0.0961864953888,1,0,1
1,1,0,0.0961864953888,1,0,1
1,1,0,0.0961864953888,1,0,1
1,1,0,0.0961864953888,1,0,1
